path	size_bytes	line_count	extension	notes
modules/lakehouse/jobs/bronze_to_silver.sql	186	12	.sql	
modules/lakehouse/main.py	238	15	.py	
modules/lakehouse/router.py	863	25	.py	
modules/lakehouse/schemas.py	623	23	.py	
modules/lakehouse/service.py	2530	74	.py	
modules/metadata/Dockerfile	272	9	[no_ext]	
modules/metadata/README.md	431	12	.md	readme
modules/metadata/__init__.py	157	6	.py	
modules/metadata/config/openmetadata_ingestion.yaml	250	13	.yaml	
modules/metadata/main.py	237	15	.py	
modules/metadata/router.py	853	25	.py	
modules/metadata/schemas.py	511	21	.py	
modules/metadata/service.py	2042	65	.py	
modules/ml_registry/Dockerfile	275	9	[no_ext]	
modules/ml_registry/README.md	605	15	.md	readme
modules/ml_registry/__init__.py	475	21	.py	
modules/ml_registry/main.py	240	15	.py	
modules/ml_registry/router.py	3522	93	.py	
modules/ml_registry/schemas.py	2454	79	.py	
modules/ml_registry/service.py	37470	900	.py	
modules/payment_reconciliation/Dockerfile	215	7	[no_ext]	
modules/payment_reconciliation/README.md	541	15	.md	readme
modules/payment_reconciliation/__init__.py	35	1	.py	
modules/payment_reconciliation/main.py	251	15	.py	
modules/payment_reconciliation/router.py	2026	52	.py	
modules/payment_reconciliation/schemas.py	774	32	.py	
modules/payment_reconciliation/service.py	5536	151	.py	
modules/profitability_intelligence/Dockerfile	219	7	[no_ext]	
modules/profitability_intelligence/README.md	526	15	.md	readme
modules/profitability_intelligence/__init__.py	35	1	.py	
modules/profitability_intelligence/main.py	255	15	.py	
modules/profitability_intelligence/router.py	1977	52	.py	
modules/profitability_intelligence/schemas.py	778	34	.py	
modules/profitability_intelligence/service.py	5838	158	.py	
modules/promotion_pricing_intelligence/Dockerfile	223	7	[no_ext]	
modules/promotion_pricing_intelligence/README.md	530	15	.md	readme
modules/promotion_pricing_intelligence/__init__.py	35	1	.py	
modules/promotion_pricing_intelligence/main.py	259	15	.py	
modules/promotion_pricing_intelligence/router.py	1942	52	.py	
modules/promotion_pricing_intelligence/schemas.py	823	36	.py	
modules/promotion_pricing_intelligence/service.py	5710	152	.py	
modules/query_layer/Dockerfile	275	9	[no_ext]	
modules/query_layer/README.md	444	12	.md	readme
modules/query_layer/__init__.py	163	6	.py	
modules/query_layer/config/catalogs/iceberg.properties	183	6	.properties	
modules/query_layer/config/catalogs/postgres.properties	137	4	.properties	
modules/query_layer/main.py	240	15	.py	
modules/query_layer/router.py	879	25	.py	
modules/query_layer/schemas.py	543	21	.py	
modules/query_layer/service.py	2284	70	.py	
modules/reorder_engine/Dockerfile	278	9	[no_ext]	
modules/reorder_engine/README.md	589	15	.md	readme
modules/reorder_engine/__init__.py	85	5	.py	
modules/reorder_engine/main.py	243	15	.py	
modules/reorder_engine/router.py	2988	74	.py	
modules/reorder_engine/schemas.py	1282	50	.py	
modules/reorder_engine/service.py	22073	630	.py	
modules/returns_intelligence/Dockerfile	284	9	[no_ext]	
modules/returns_intelligence/README.md	601	15	.md	readme
